Nome da Competição,Total de Links de Temporada Encontrados,Links Processados (Etapa 2),Links Sem Partidas (Etapa 2),Total de Partidas Coletadas (Etapa 2),Partidas com Estatísticas (Etapa 3),Partidas Sem Estatísticas (Etapa 3)
2. Fußball-Bundesliga,23,0,0,0,0,0
3. Fußball-Liga,17,0,0,0,0,0
A-League Men,20,0,0,0,0,0
A-League Women,7,0,0,0,0,0
AFC Asian Cup,0,0,0,0,0,0
AFC Asian Cup qualification,0,0,0,0,0,0
AFC Women's Asian Cup,0,0,0,0,0,0
AFC Women's Asian Cup qualification,0,0,0,0,0,0
Africa Cup of Nations,0,0,0,0,0,0
Africa Cup of Nations qualification,0,0,0,0,0,0
Africa Women Cup of Nations,0,0,0,0,0,0
Algarve Cup,0,0,0,0,0,0
Allsvenskan,0,0,0,0,0,0
Austrian Football Bundesliga,0,0,0,0,0,0
Belgian Pro League,0,0,0,0,0,0
Belgian Women's Super League,0,0,0,0,0,0
Big 5 European Leagues Combined,0,0,0,0,0,0
Brasileirão Feminino Série A1,0,0,0,0,0,0
Bundesliga,67,96,1,96,0,0
CONCACAF Gold Cup,0,0,0,0,0,0
CONCACAF W Championship,0,0,0,0,0,0
CONMEBOL Copa América,0,0,0,0,0,0
Campeonato Brasileiro Série A,0,0,0,0,0,0
Campeonato Brasileiro Série B,0,0,0,0,0,0
Canadian Premier League,0,0,0,0,0,0
Categoría Primera A,0,0,0,0,0,0
Challenger Pro League,0,0,0,0,0,0
Champions League,73,103,1,103,0,0
Chilean Primera División,0,0,0,0,0,0
Chinese Football Association Super League,0,0,0,0,0,0
Copa América Femenina,0,0,0,0,0,0
Copa CONMEBOL Sudamericana,0,0,0,0,0,0
Copa Libertadores de América,0,0,0,0,0,0
Copa de la Liga Profesional,0,0,0,0,0,0
Copa del Rey,0,0,0,0,0,0
Coppa Italia,0,0,0,0,0,0
Coupe de France,0,0,0,0,0,0
Coupe de la Ligue,0,0,0,0,0,0
Croatian Football League,0,0,0,0,0,0
Czech First League,0,0,0,0,0,0
DFB-Pokal,0,0,0,0,0,0
DFB-Pokal Frauen,0,0,0,0,0,0
Damallsvenskan,0,0,0,0,0,0
Danish Superliga,0,0,0,0,0,0
Danish Women's League,0,0,0,0,0,0
División de Fútbol Profesional,0,0,0,0,0,0
EFL Championship,0,0,0,0,0,0
EFL Cup,0,0,0,0,0,0
EFL League One,0,0,0,0,0,0
EFL League Two,0,0,0,0,0,0
Eerste Divisie,0,0,0,0,0,0
Ekstraklasa,0,0,0,0,0,0
Eliteserien,0,0,0,0,0,0
Eredivisie,0,0,0,0,0,0
Eredivisie Vrouwen,0,0,0,0,0,0
Europa League,57,86,1,86,0,0
FA Community Shield,0,0,0,0,0,0
FA Cup,0,0,0,0,0,0
FA Women's Super League,0,0,0,0,0,0
FIFA Club World Cup,0,0,0,0,0,0
FIFA Confederations Cup,0,0,0,0,0,0
FIFA Women's World Cup,0,0,0,0,0,0
FIFA Women's World Cup Qualification (UEFA),0,0,0,0,0,0
FIFA World Cup Qualification — AFC,0,0,0,0,0,0
FIFA World Cup Qualification — CAF,0,0,0,0,0,0
FIFA World Cup Qualification — CONCACAF,0,0,0,0,0,0
FIFA World Cup Qualification — CONMEBOL,0,0,0,0,0,0
FIFA World Cup Qualification — Inter-confederation play-offs,0,0,0,0,0,0
FIFA World Cup Qualification — OFC,0,0,0,0,0,0
FIFA World Cup Qualification — UEFA,0,0,0,0,0,0
First Professional Football League,0,0,0,0,0,0
Franz Beckenbauer Supercup,0,0,0,0,0,0
Frauen-Bundesliga,0,0,0,0,0,0
I-League,0,0,0,0,0,0
Indian Super League,0,0,0,0,0,0
International Friendlies (M),0,0,0,0,0,0
International Friendlies (W),0,0,0,0,0,0
J1 League,0,0,0,0,0,0
